"Código","DEPARTAMENTO","Provincia","PROVINCIA_LIMPIA","%_Paredes_Ladrillo","%_Techos_Concreto","%_Pisos_Materiales","%_Pisos_Buenos","indice_aritmetico","INDICE_ALGEBRAICO","DEPARTAMENTO_FALLECIMIENTO","RATIO","Region","FUERZA POPULAR","PARTIDO POLITICO NACIONAL PERU LIBRE","ratio_keiko_castillo"
"1503","LIMA","Lima, provincia: Cajatambo","CAJATAMBO",1.92842942345924,0.715705765407555,42.624254473161,57.375745526839,20.0066269052353,-0.766335810841628,"LIMA",0.5714285714,"LIMA",0.549,0.451,1.21729490022173
"1504","LIMA","Lima, provincia: Canta","CANTA",9.51102812463531,4.73800910257906,43.482319990664,56.517680009336,23.5889057455168,-0.272246617446267,"LIMA",0.8684210526,"LIMA",0.4796,0.5204,0.921598770176787
"1505","LIMA","Lima, provincia: Cañete","CANETE",38.6510590858417,25.5183946488294,54.1968176750785,45.8031823249215,36.6575453531975,1.77148220136802,"LIMA",1.740440324,"LIMA",0.5469,0.4531,1.20701831825204
"1506","LIMA","Lima, provincia: Huaral","HUARAL",47.2736763845168,35.2421025989845,61.5894458769002,38.4105541230998,40.3087777022004,2.48817278755282,"LIMA",1.726692209,"LIMA",0.5651,0.4349,1.29937916762474
"1507","LIMA","Lima, provincia: Huarochirí","HUAROCHIRI",19.3976518631955,12.1626680279054,50.8660881402076,49.1339118597924,26.8980772502978,0.369261445068037,"LIMA",1.491712707,"LIMA",0.4689,0.5311,0.882884579175297
"1508","LIMA","Lima, provincia: Huaura","HUAURA",37.6988583192963,28.0670971364402,56.8863466217481,43.1136533782519,36.2932029446628,1.82064373752911,"LIMA",2.006002401,"LIMA",0.536,0.464,1.1551724137931
"1509","LIMA","Lima, provincia: Oyón","OYON",10.9386828160485,6.58591975775927,56.3966691900076,43.6033308099924,20.3759777946001,-0.365621541780937,"LIMA",1.333333333,"LIMA",0.4464,0.5536,0.80635838150289
"1510","LIMA","Lima, provincia: Yauyos","YAUYOS",3.94009983361065,1.44425956738769,44.4459234608985,55.5540765391015,20.3128119800333,-0.684214372862379,"LIMA",1.631578947,"LIMA",0.4072,0.5928,0.686909581646424
"1601","LORETO","Loreto, provincia: Maynas","MAYNAS",44.4146949464089,5.8543095272068,74.2544673207826,25.7455326792174,25.3381790509444,0.545909202130484,"LORETO",1.956568947,"LORETO",0.5538,0.4462,1.24114746750336
"1602","LORETO","Loreto, provincia: Alto Amazonas","ALTO AMAZONAS",29.2922833302881,4.20244838297095,80.7113709726536,19.2886290273464,17.5944535802018,-0.252395532874581,"LORETO",1.53021978,"LORETO",0.3092,0.6908,0.447596988998263
"1603","LORETO","Loreto, provincia: Loreto","LORETO",8.67141931302657,0.67401166558652,86.7919637070642,13.2080362929358,7.51782242384964,-1.35750722960039,"LORETO",5.619047619,"LORETO",0.55,0.45,1.22222222222222
"1604","LORETO","Loreto, provincia: Mariscal Ramón Castilla","MARISCAL RAMON CASTILLA",7.29401170643854,0.420231127119916,76.3619990995047,23.6380009004953,10.4507479113512,-1.22383983216106,"LORETO",1.109090909,"LORETO",0.7122,0.2878,2.47463516330785
